verb,english,russian
ouvrir,to open,открывать
paraître,to seem,казаться
parcourir,"to cover, travel","прикрывать, путешествовать"
pardonner,to forgive,прощать
parler,to talk,говорить
partager,to share,делиться
participer,to participate,участвовать
partir,to leave,уехать
parvenir,to reach,дойти
passer,"to pass, spend time","проходить, проводить время"
patiner,to skate,кататься
payer,to pay,платить
pécher,to sin,грешить
pêcher,to fish,ловить рыбу
peigner,to comb,причесываться
peindre,to paint,красить
peler,to peel,чистить
pendre,to hang,вешать
pénétrer,to enter,войти
penser,to think,думать
percevoir,to perceive,воспринимать
perdre,to lose,терять
périr,to perish,погибнуть
permettre,to permit,разрешать
persuader,to persuade,убеждать
peser,to weigh,взвесить
pianoter,to tap (ike a piano),стучать (как на пианино)
placer,to put,ставить
plaindre,to pity,жалеть
plaire,to please,ублажать
plaisanter,to joke,шутить
planter,"to plant, to crash (pc)",сажать
pleurer,to cry,плакать
pleuvoir,to rain,пролиться дождём
plier,"to fold, bend","складываться, сгибаться"
plonger,to dive,нырять
poindre,to dawn,рассвет
pondre,to lay (an egg),снести (яйцо)
porter,"to wear, to carry","носить, нести"
poser,to put,класть
posséder,to possess,обладать
poursuivre,to pursue,преследовать
pousser,to push,толкать
pouvoir,to be able,быть в состоянии
prédire,to predict,предсказывать
préférer,to prefer,отдавать предпочтение
prendre,to take,брать
préparer,to prepare,готовиться
prescrire,to subscribe,подписаться
présenter,to introduce,представлять
pressentir,to have a premonition,предчувствовать
presser,to squeeze,сжимать
prétendre,to claim,требовать
prêter,to loan,давать взаймы
se prévaloir,to pride oneself on,гордиться собой
prévenir,to prevent,предотвращать
prévoir,to foresee,предвидеть
prier,to pray,молиться
produire,to produce,производить
projeter,to project,проецировать
promener,to walk,идти
promettre,to promise,обещать
prononcer,to pronounce,произносить
proposer,"to propose, suggest","предлагать, предлагать"
proscrire,to prohibit,запрещать
protéger,to protect,защищать
prouver,to prove,доказывать
provenir,"to come from, be due to","исходить, быть обусловленным"
puer,to stink,вонять
punir,to punish,наказывать
quérir,to summon,вызывать
quitter,to leave,уходить
raconter,"to tell, recount","рассказывать, пересказывать"
ralentir,to slow down,замедлить
ranger,to arrange,договариваться
rappeler,to recall,напомнить
rassurer,to reassure,успокоить
rater,to miss,пропустить
ravir,to delight,радовать
recevoir,to receive,получать
reconduire,to renew,обновлять
reconnaître,to recognize,узнавать
reconstruire,to rebuild,восстанавливать
recoudre,to sew back on,пришить
recourir,to run again,снова бежать
recouvrir,to recover,восстанавливать
récrire,to rewrite,переписать
recueillir,"to collect, gather",собирать
rédiger,to write,писать
redire,to repeat,повторять
réduire,to reduce,сократить
réélire,to re-elect,переизбрать
refaire,to redo,переделать
réfléchir,to think,думать
refléter,to reflect,размышлять
refuser,to refuse,отказаться
regarder,to look at,смотреть
regretter,to regret,сожалеть
rejeter,to reject,отвергать
rejoindre,to rejoin,воссоединиться
relire,to reread,перечитывать
remarquer,to notice,замечать
remercier,to thank,благодарить
remettre,to put back (on),вернуть (на) место
remoudre,to regrind,перемалывать
remplacer,to replace,заменить
remplir,to fill,заполнять
rencontrer,to meet,соответствовать
rendre,to give back,возвращать
renoncer,to renounce,отказаться
renouveler,to renew,возобновить
rentrer,to return home,вернуться домой
renvoyer,to dismiss,уволить
répandre,"to spread, spill","распространяться, разливаться"
reparaître,to reappear,появляться вновь
réparer,to repair,ремонтировать
repasser,"to iron, to pass again","гладить, проходить заново"
repeindre,to repaint,перекрашивать
se repentir,to repent,каяться
repérer,to locate,найти
répéter,to repeat,повторить
répondre,to answer,ответить
reposer,to rest,отдыхать
reprendre,"to take again, to recove","взять снова, повторить"
réprimander,to reprimand,сделать замечание
reproduire,to reproduce,воспроизводить
résoudre,to resolve,разрешить
ressembler,to resemble,напоминать
ressentir,to feel,чувствовать
rester,to remain,оставаться
restreindre,to restrict,ограничивать
reteindre,to dye again,снова окрашивать
retenir,to retain,сохранять
retourner,to return,возвращаться
réussir,to succeed,добиться успеха
réveiller,to wake up,проснуться
révéler,to reveal,раскрыться
revendiquer,to take responsibility,брать на себя ответственность
revenir,to come back,вернуться
rêver,to dream,мечтать
revêtir,to put on,надевать
revoir,to see again,увидеть снова
riposter,to counteract,противодействовать
rire,to laugh,смеяться
rompre,to break,сломаться
rougir,"to redden, blush",краснеть
rouler,"to roll, to drive (a car)","рулить, водить (машину)"
rouvrir,to reopen,снова открывать
saillir,to protrude,выступать
saisir,to seize,захватывать
salir,to soil,испачкать
satisfaire,to satisfy,удовлетворять
sauter,to jump,прыгать
sauver,"to save, rescue","спасать, выручать"
savoir,to know,знать
secouer,to shake,трясти
secourir,to help,помочь
séduire,to seduce,соблазнить
séjourner,to sojourn,оставаться
sembler,to seem,казаться
sentir,"to feel, smell","чувствовать, обонять"
séparer,to separate,разделять
serrer,"to grasp, squeeze","схватить, сжать"
servir,to serve,служить
siffler,to whistle,свистеть
signaler,to signal,подавать сигнал
signer,to sign,подать знак
signifier,to mean,означать
skier,to ski,кататься на лыжах
songer,to dream,мечтать
sonner,to ring,звонить
sortir,to go out,выходить
souffler,"to blow, pant","дуть, пыхтеть"
souffrir,to suffer,страдать
souhaiter,to wish,желать
souiller,to soil,пачкать
soumettre,to submit,подчиняться
sourire,to smile,улыбаться
souscrire,to subscribe,подписаться
soutenir,to support,поддерживать
se souvenir,to remember,помнить
subir,to undergo,пройти
subvenir,to provide for,обеспечивать
sucer,to suck,сосать
succomber,to succumb,поддаваться
suffire,to suffice,хватать
suggérer,to suggest,предлагать
suivre,to follow,следовать
supplier,to beg,умолять
supposer,to suppose,предполагать
supporter,"to support, endure","поддерживать, выдерживать"
surprendre,to surprise,удивлять
survenir,to occur,происходить
survivre,to survive,выжить
survoler,to fly over,пролететь
susciter,to cause,вызывать
tapoter,to tap,постучать
teindre,to dye,окрашивать
téléphoner,to call,звонить
tendre,"to strain, strive","напрягаться, стремиться"
tenir,to hold,удерживать
tenter,"to try, to tempt","пытаться, испытывать"
terminer,to end,заканчиваться
tirer,to pull,тянуть
tomber,to fall,падать
tondre,"to shear, mow","стричь, косить"
tonner,to thunder,греметь
toquer,to knock,стучать
tordre,to twist,крутить
toucher,to affect,воздействовать
tourner,to turn,поворачивать
tousser,to cough,кашлять
tracer,to draw,рисовать
traduire,to translate,переводить
trahir,to betray,предать
traiter,"to treat, to negotiate","лечить, обращаться"
transcrire,to transcribe,транскрибировать
transmettre,to transmit,передавать
transparaître,to show through,проявлять себя
travailler,to work,работать
traverser,to cross,переходить
tressaillir,to shudder,вздрагивать
tricher,"to trick, cheat","хитрить, обманывать"
tromper,"to deceive, mislead","обманывать, вводить в заблуждение"
trouver,to find,найти
tuer,to kill,убить
tutoyer,"to use ""tu""","использовать ""tu"""
unifier,to unify,объединять
unir,to unite,объединяться
user,to wear out,изнашиваться
utiliser,to use,использовать
vaincre,to defeat,победить
valoir,to be worth,быть достойным
vanter,to praise,восхвалять
varier,to vary,варьировать
veiller,to stay up,оставаться на высоте
vendre,to sell,продавать
venger,to avenge,отомстить
venir,to come,приходить
verdir,to turn green,зеленеть
vérifier,to verify,проверить
verser,to pour,наливать
vêtir,to clothe,одеваться
vieillir,to age,стареть
viser,to aim,прицелиться
visiter,to visit,посещать
vivre,to live,жить
voiler,to veil,покрывать
voir,to see,видеть
voler,"to steal, fly","воровать, летать"
voter,to vote,голосовать
vouloir,to want,хотеть
vouvoyer,"to use ""vous""","использовать ""vous"""
voyager,to travel,путешествовать
warranter,to guarantee with a warr,давать ордер
zébrer,to stripe,нанести полосу
zézayer,to lisp,лизать
zoner,to zone,зонировать
